yearM,USDKRW_M
1990,683.43
1990.08333333333,689.87
1990.16666666667,697.78
1990.25,706.03
1990.33333333333,709.26
1990.41666666667,715.33
1990.5,715.94
1990.58333333333,715.54
1990.66666666667,714.96
1990.75,715
1990.83333333333,714.32
1990.91666666667,715.73
1991,718.14
1991.08333333333,721.61
1991.16666666667,725.11
1991.25,725.48
1991.33333333333,725.13
1991.41666666667,725.37
1991.5,728.96
1991.58333333333,731.12
1991.66666666667,739.74
1991.75,748.96
1991.83333333333,753.05
1991.91666666667,757.28
1992,762.66
1992.08333333333,765.74
1992.16666666667,771.19
1992.25,778.28
1992.33333333333,782.78
1992.41666666667,789.07
1992.5,787.15
1992.58333333333,789.32
1992.66666666667,785.55
1992.75,783.65
1992.83333333333,784.04
1992.91666666667,788.62
1993,791.99
1993.08333333333,796.45
1993.16666666667,793.25
1993.25,795.79
1993.33333333333,799.99
1993.41666666667,802.68
1993.5,806.2
1993.58333333333,808.81
1993.66666666667,808.57
1993.75,810.21
1993.83333333333,807.12
1993.91666666667,809.4
1994,810.48
1994.08333333333,809.23
1994.16666666667,807.54
1994.25,808.56
1994.33333333333,806.55
1994.41666666667,806.64
1994.5,805.12
1994.58333333333,803.46
1994.66666666667,800.73
1994.75,798.76
1994.83333333333,796.33
1994.91666666667,791.86
1995,790.48
1995.08333333333,790.73
1995.16666666667,778.69
1995.25,767.5
1995.33333333333,761.4
1995.41666666667,761.04
1995.5,757.01
1995.58333333333,767.96
1995.66666666667,772.35
1995.75,767.4
1995.83333333333,769.41
1995.91666666667,771.08
1996,787.27
1996.08333333333,780.28
1996.16666666667,781.25
1996.25,780.43
1996.33333333333,780.16
1996.41666666667,797.96
1996.5,812.76
1996.58333333333,816.81
1996.66666666667,821.76
1996.75,827.61
1996.83333333333,828.18
1996.91666666667,839.02
1997,849.88
1997.08333333333,866.85
1997.16666666667,879.41
1997.25,893.56
1997.33333333333,892.05
1997.41666666667,889.49
1997.5,890.5
1997.58333333333,895.9
1997.66666666667,909.53
1997.75,921.85
1997.83333333333,1025.58
1997.91666666667,1484.08
1998,1706.8
1998.08333333333,1623.06
1998.16666666667,1505.28
1998.25,1391.97
1998.33333333333,1394.62
1998.41666666667,1397.18
1998.5,1300.77
1998.58333333333,1303.22
1998.66666666667,1370.8
1998.75,1336.72
1998.83333333333,1294.13
1998.91666666667,1213.65
1999,1176.94
1999.08333333333,1186.81
1999.16666666667,1229.16
1999.25,1208.94
1999.33333333333,1197
1999.41666666667,1169.63
1999.5,1186.04
1999.58333333333,1199.79
1999.66666666667,1196.97
1999.75,1206.38
1999.83333333333,1177.22
1999.91666666667,1138.39
2000,1131.07
2000.08333333333,1128.8
2000.16666666667,1117.19
2000.25,1109.76
2000.33333333333,1120.01
2000.41666666667,1118.73
2000.5,1114.86
2000.58333333333,1114.57
2000.66666666667,1116.5
2000.75,1127.31
2000.83333333333,1151.15
2000.91666666667,1214.4
2001,1272.82
2001.08333333333,1252.44
2001.16666666667,1288.43
2001.25,1325.55
2001.33333333333,1298.46
2001.41666666667,1293.83
2001.5,1302.6
2001.58333333333,1285.39
2001.66666666667,1293.7
2001.75,1302.6
2001.83333333333,1284
2001.91666666667,1289.66
2002,1317.6
2002.08333333333,1318.72
2002.16666666667,1322.51
2002.25,1318.93
2002.33333333333,1266.06
2002.41666666667,1223.47
2002.5,1185.12
2002.58333333333,1196.37
2002.66666666667,1208.5
2002.75,1241.13
2002.83333333333,1211.91
2002.91666666667,1208.91
2003,1179.27
2003.08333333333,1191.19
2003.16666666667,1232.4
2003.25,1232.82
2003.33333333333,1199.78
2003.41666666667,1194.02
2003.5,1181.59
2003.58333333333,1178.42
2003.66666666667,1166.17
2003.75,1166.27
2003.83333333333,1184.87
2003.91666666667,1192.95
2004,1184.32
2004.08333333333,1166.69
2004.16666666667,1166.34
2004.25,1150.85
2004.33333333333,1177.37
2004.41666666667,1158.65
2004.5,1157.66
2004.58333333333,1159
2004.66666666667,1147.97
2004.75,1144.04
2004.83333333333,1091.19
2004.91666666667,1050.91
2005,1038.23
2005.08333333333,1022.43
2005.16666666667,1007.49
2005.25,1010.94
2005.33333333333,1002.21
2005.41666666667,1010.87
2005.5,1037.44
2005.58333333333,1021.17
2005.66666666667,1029.33
2005.75,1046.25
2005.83333333333,1041.43
2005.91666666667,1024.15
2006,987.03
2006.08333333333,970.22
2006.16666666667,975.09
2006.25,954.44
2006.33333333333,941.4
2006.41666666667,955.16
2006.5,950.15
2006.58333333333,960.72
2006.66666666667,953.68
2006.75,954.23
2006.83333333333,936.22
2006.91666666667,925.75
2007,936.36
2007.08333333333,937.02
2007.16666666667,943.26
