"","yearM","USDKRW_M"
"195",2006.16666666667,975.09
"196",2006.25,954.44
"197",2006.33333333333,941.4
"198",2006.41666666667,955.16
"199",2006.5,950.15
"200",2006.58333333333,960.72
"201",2006.66666666667,953.68
"202",2006.75,954.23
"203",2006.83333333333,936.22
"204",2006.91666666667,925.75
"205",2007,936.36
"206",2007.08333333333,937.02
"207",2007.16666666667,943.26
"208",2007.25,931.5
"209",2007.33333333333,927.91
"210",2007.41666666667,928.32
"211",2007.5,918.85
"212",2007.58333333333,933.8
"213",2007.66666666667,932.41
"214",2007.75,915.86
"215",2007.83333333333,916.98
"216",2007.91666666667,930.24
"217",2008,942.39
"218",2008.08333333333,944.69
"219",2008.16666666667,979.86
"220",2008.25,986.66
"221",2008.33333333333,1036.73
"222",2008.41666666667,1029.27
"223",2008.5,1019.12
"224",2008.58333333333,1041.54
"225",2008.66666666667,1130.4
"226",2008.75,1326.92
"227",2008.83333333333,1390.09
"228",2008.91666666667,1373.84
"229",2009,1346.1
"230",2009.08333333333,1429.46
"231",2009.16666666667,1461.98
"232",2009.25,1341.9
"233",2009.33333333333,1258.71
"234",2009.41666666667,1261.35
"235",2009.5,1263.97
"236",2009.58333333333,1238.4
"237",2009.66666666667,1219.15
"238",2009.75,1175.25
"239",2009.83333333333,1164.23
"240",2009.91666666667,1166.45
"241",2010,1138.82
"242",2010.08333333333,1157.08
"243",2010.16666666667,1137.64
"244",2010.25,1117.11
"245",2010.33333333333,1163.11
"246",2010.41666666667,1212.33
"247",2010.5,1207.3
"248",2010.58333333333,1179.92
"249",2010.66666666667,1167.01
"250",2010.75,1123.45
"251",2010.83333333333,1126.2
"252",2010.91666666667,1147.55
"253",2011,1120.07
"254",2011.08333333333,1118.14
"255",2011.16666666667,1122.45
"256",2011.25,1086.84
"257",2011.33333333333,1083.54
"258",2011.41666666667,1081.27
"259",2011.5,1059.5
"260",2011.58333333333,1073.17
"261",2011.66666666667,1118.61
"262",2011.75,1155.45
"263",2011.83333333333,1132.31
"264",2011.91666666667,1147.45
"265",2012,1145.85
"266",2012.08333333333,1123.35
"267",2012.16666666667,1125.9
"268",2012.25,1135.55
"269",2012.33333333333,1154.27
"270",2012.41666666667,1165.51
"271",2012.5,1143.36
"272",2012.58333333333,1131.69
"273",2012.66666666667,1124.78
"274",2012.75,1106.93
"275",2012.83333333333,1087.52
"276",2012.91666666667,1076.97
"277",2013,1065.35
"278",2013.08333333333,1086.68
"279",2013.16666666667,1102.2
"280",2013.25,1121.83
"281",2013.33333333333,1110.67
"282",2013.41666666667,1135.21
"283",2013.5,1127.23
"284",2013.58333333333,1116.98
"285",2013.66666666667,1087.35
"286",2013.75,1066.8
"287",2013.83333333333,1062.82
"288",2013.91666666667,1056.67
"289",2014,1064.75
"290",2014.08333333333,1071.3
"291",2014.16666666667,1070.89
"292",2014.25,1044.55
"293",2014.33333333333,1024.99
"294",2014.41666666667,1019.36
"295",2014.5,1019.93
"296",2014.58333333333,1025.36
"297",2014.66666666667,1033.24
"298",2014.75,1060.28
"299",2014.83333333333,1095.1
"300",2014.91666666667,1104.33
"301",2015,1088.86
"302",2015.08333333333,1098.4
"303",2015.16666666667,1112.57
"304",2015.25,1088.66
"305",2015.33333333333,1091.27
"306",2015.41666666667,1112.2
"307",2015.5,1143.22
"308",2015.58333333333,1179.1
"309",2015.66666666667,1184.76
"310",2015.75,1148.18
"311",2015.83333333333,1151.97
"312",2015.91666666667,1172.24
"313",2016,1201.67
"314",2016.08333333333,1217.35
"315",2016.16666666667,1188.21
"316",2016.25,1147.51
"317",2016.33333333333,1171.51
"318",2016.41666666667,1170.5
"319",2016.5,1144.09
"320",2016.58333333333,1111.68
"321",2016.66666666667,1107.49
"322",2016.75,1125.28
"323",2016.83333333333,1161.64
"324",2016.91666666667,1182.28
"325",2017,1185.1
"326",2017.08333333333,1144.92
"327",2017.16666666667,1134.77
"328",2017.25,1132.73
"329",2017.33333333333,1125.28
"330",2017.41666666667,1130.04
"331",2017.5,1134.4
"332",2017.58333333333,1130.79
"333",2017.66666666667,1131.59
"334",2017.75,1131.57
"335",2017.83333333333,1105.04
"336",2017.91666666667,1085.78
"337",2018,1066.7
"338",2018.08333333333,1079.58
"339",2018.16666666667,1071.89
"340",2018.25,1067.76
"341",2018.33333333333,1076.39
"342",2018.41666666667,1092.8
"343",2018.5,1122.8
"344",2018.58333333333,1121.15
"345",2018.66666666667,1120.6
"346",2018.75,1130.81
"347",2018.83333333333,1128.58
"348",2018.91666666667,1122.9
"349",2019,1122
"350",2019.08333333333,1122.45
"351",2019.16666666667,1130.72
"352",2019.25,1140.95
"353",2019.33333333333,1183.29
"354",2019.41666666667,1175.62
"355",2019.5,1175.31
"356",2019.58333333333,1208.98
"357",2019.66666666667,1197.55
"358",2019.75,1184.13
"359",2019.83333333333,1167.45
"360",2019.91666666667,1175.84
"361",2020,1164.28
"362",2020.08333333333,1193.79
"363",2020.16666666667,1220.09
"364",2020.25,1225.23
"365",2020.33333333333,1228.67
"366",2020.41666666667,1210.01
"367",2020.5,1198.9
"368",2020.58333333333,1186.85
"369",2020.66666666667,1178.8
"370",2020.75,1144.68
"371",2020.83333333333,1116.76
"372",2020.91666666667,1095.13
"373",2021,1097.49
"374",2021.08333333333,1111.72
"375",2021.16666666667,1131.02
"376",2021.25,1119.4
"377",2021.33333333333,1123.28
"378",2021.41666666667,1121.3
"379",2021.5,1143.98
"380",2021.58333333333,1160.34
"381",2021.66666666667,1169.54
"382",2021.75,1182.82
"383",2021.83333333333,1182.91
"384",2021.91666666667,1183.7
"385",2022,1194.01
"386",2022.08333333333,1198.34
"387",2022.16666666667,1221.03
"388",2022.25,1232.34
"389",2022.33333333333,1269.88
"390",2022.41666666667,1277.35
"391",2022.5,1307.4
"392",2022.58333333333,1318.44
"393",2022.66666666667,1391.59
"394",2022.75,1426.66
"395",2022.83333333333,1364.1
"396",2022.91666666667,1296.22
"397",2023,1247.25
"398",2023.08333333333,1270.74
"399",2023.16666666667,1305.73
"400",2023.25,1320.01
"401",2023.33333333333,1328.21
"402",2023.41666666667,1296.71
"403",2023.5,1286.3
"404",2023.58333333333,1318.47
"405",2023.66666666667,1329.47
"406",2023.75,1350.69
"407",2023.83333333333,1310.39
"408",2023.91666666667,1303.98
"409",2024,1323.57
"410",2024.08333333333,1331.74
"411",2024.16666666667,NA
